Ku,m,Organism,Genus,GC4,S4
1,1.3836,Agrobacterium tumefaciens C58,Agrobacterium,0.7731,1.5507
1,0.9050,Arthrobacter sp. KBS0703,Arthrobacter,0.8511,1.6431
1,1.2739,Bacillus subtilis NCIB 3610,Bacillus,0.4811,0.1665
0,0.8514,Burkhoderia cenocepacia HI2424,Burkhoderia,0.9195,2.2753
0,0.5011,Caulobacter crescentus NA1000,Caulobacter,0.9014,1.5214
0,1.7926,Colwellia psychrerythraea 34H,Colwellia,0.3143,-0.1964
0,0.5511,Deinococcus radiodurans BAA-816,Deinococcus,0.8947,1.5443
1,1.1003,Escherichia coli K-12 MG1655,Escherichia,0.633,0.6408
0,8.1879,Flavobacterium sp.  KBS0721,Flavobacterium,0.2713,1.1147
0,1.0554,GemmataÂ obscuriglobus DSM5831,Gemmata,0.8959,2.2062
1,2.9555,Janthinobacterium lividum KBS0711,Janthinobacterium,0.8431,2.7649
0,1.4703,Kineococcus radiotolerans SRS30216,Kineococcus,0.9572,3.4919
0,11.2652,Lactococcus lactis DSMZ20481,Lcatococcus,0.2489,1.317
0,16.0060,Mesoplasma florum L1,Mesoplasma,0.062,0.056
1,0.3945,Micrococcus sp. KBS0714,Micrococcus,0.95,2.0143
1,0.7170,Mycobacterium smegmatis MC2 155,Mycobacterium,0.8678,1.5489
0,4.6487,Rhodobacter sphaeroides ATCC17025,Rhodobacter,0.9102,3.853
0,0.4379,Ruegeria pomeroyi DSS-3,Ruegeria,0.8771,1.1396
0,4.5699,Staphylococcus aureus ATCC 25923,Staphylococcus,0.2063,0.172
0,6.5888,Staphylococcus epidermidis ATCC 12228,Staphylococcus,0.1907,0.4401
0,2.2989,Vibrio cholerae 2740-80,Vibrio,0.5503,1.0344
1,4.4600,Vibrio fischeri ES114,Vibrio,0.2527,0.411
